OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
1,2012,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CAMRY,Automobile,DGR,8000,Sunday,Y,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,5/20/2019 5:00:00 AM,5/19/2019 5:00:00 AM,2019,"JEANNE D'ARC BLVD, MILLWOOD CRT",East,5050124.04,Evening,Laura Dudas,1100,2300,-75.5357613072801,45.4793903792369
2,2016,NISSAN,,Automobile,BLK,,Monday,Y,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,5/20/2019 5:00:00 AM,5/20/2019 5:00:00 AM,2019,"BELCOURT BLVD, LEBLANC DR, BARSONA PL",East,5050125.05,Night,Laura Dudas,400,400,-75.5200727119903,45.4686924709987
3,,,,Other,RED,2500,Monday,N,Britannia Village,Ward 7 - Bay,Sector 14,5/21/2019 5:00:00 AM,5/20/2019 5:00:00 AM,2019,"140 E OF POULIN AVE, RICHMOND RD",West,5050030.00,Evening,Theresa Kavanagh,1000,2300,-75.7902565496059,45.3629210195095
4,2018,AUDI,,Automobile,BLK,128000,Friday,Y,Vanier South,Ward 13 - Rideau-Rockcliffe,Sector 25,5/21/2019 5:00:00 AM,4/12/2019 5:00:00 AM,2019,"CAMIL ST, ST. LAURENT BLVD",Central,5050061.00,,Rawlson King,1400,,-75.6464257581304,45.4403116956535
5,2008,VOLVO,,Automobile,SIL,,Tuesday,Y,Centretown,Ward 14 - Somerset,Sector 23,5/21/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"BANK ST, LAURIER AVE",Central,5050048.00,Morning,Ariel Troster,1200,1000,-75.6990582544491,45.4185247241264
6,,CHEVROLET,SONIC,Automobile,WHI,,Tuesday,Y,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sector 17,5/21/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"KESLER AVE, WILLETH AVE",West,5050132.00,Morning,Sean Devine,900,900,-75.7210842253029,45.367646927388
7,2012,AUDI,,Automobile,BLU,,Tuesday,Y,Westboro,Ward 15 - Kitchissippi,Sector 21,5/21/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"CURRELL AVE, IRENE CRES",Central,5050033.01,Morning,Jeff Leiper,800,800,-75.7462359838849,45.382825546236
8,2017,HYUNDAI,,Suv,BLK,,Tuesday,Y,Crestview - Meadowlands,Ward 8 - College,Sector 17,5/21/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"BASELINE RD, DEERFIELD DR",West,5050133.00,Afternoon,Laine Johnson,200,1700,-75.7523911494216,45.355947893998
9,,KUBOTA TRACTOR CORP.,,Other,ONG,,Tuesday,N,Britannia Village,Ward 7 - Bay,Sector 14,5/21/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"BOND ST, FOREST ST",West,5050030.00,Afternoon,Theresa Kavanagh,1500,1400,-75.7887887396405,45.3630852751194
10,,,,Other,BLU,,Wednesday,N,Centretown,Ward 14 - Somerset,Sector 23,5/22/2019 5:00:00 AM,5/22/2019 5:00:00 AM,2019,"ALBERT ST, LYON ST N  ",Central,5050048.00,Morning,Ariel Troster,1500,900,-75.7043993218961,45.4181510693814
11,2010,,,Motorcycle,BLU,,Wednesday,N,Bayshore,Ward 7 - Bay,Sector 14,5/22/2019 5:00:00 AM,5/22/2019 5:00:00 AM,2019,"WOODRIDGE CRES, TRANSITWAY LINK",West,5050138.00,Morning,Theresa Kavanagh,1900,1000,-75.8097410712022,45.3467885949548
12,2006,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,LBL,,Tuesday,Y,Carlington,Ward 16 - River,Sector 21,5/22/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"MERIVALE RD,30m S SUMMERVILLE AVE",Central,5050022.00,Evening,Riley Brockington,100,2200,-75.7329306823703,45.3751025218776
13,2010,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,BLK,,Tuesday,Y,Bells Corners West,Ward 8 - College,Sector 15,5/22/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"MOODIE DR, ROBERTSON RD",West,5050136.02,Afternoon,Laine Johnson,1200,1600,-75.8332967542657,45.3220943881145
14,2008,INFINITI,,Automobile,BRNPLE,8000,Thursday,N,West Centertown,Ward 14 - Somerset,Sector 22,5/23/2019 5:00:00 AM,5/23/2019 5:00:00 AM,2019,"ANDERSON ST, BOOTH ST",Central,5050042.00,Evening,Ariel Troster,200,2300,-75.7098453930397,45.4083158338156
15,2013,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,GRY,,Thursday,Y,Carlington,Ward 16 - River,Sector 21,5/23/2019 5:00:00 AM,5/23/2019 5:00:00 AM,2019,"MAYVIEW AVE, MEDFORD ST",Central,5050022.00,Morning,Riley Brockington,1100,900,-75.7359768818563,45.3737316675364
16,2008,MITSUBISHI,OUTLANDER,Suv,GRN,,Thursday,N,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,5/24/2019 5:00:00 AM,5/23/2019 5:00:00 AM,2019,"CUTTS PRIV, PATOLA PRIV",East,5050001.06,Evening,Jessica Bradley,1000,2100,-75.6413127602687,45.3589671643904
17,2013,MERCEDES-BENZ,250 SERIES,Automobile,WHI,,Thursday,Y,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,5/24/2019 5:00:00 AM,5/23/2019 5:00:00 AM,2019,"BESSERER ST, CUMBERLAND ST",Central,5050054.00,Evening,Stéphanie Plante,800,1800,-75.6870114228236,45.4273407100824
18,2005,INFINITI,G35,Automobile,BLK,,Saturday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,5/25/2019 5:00:00 AM,5/25/2019 5:00:00 AM,2019,"CABARET LANE, MARSALA CRES S",East,5050170.09,Evening,Matthew Luloff,1800,1800,-75.4885172678009,45.4697040597468
19,2015,DODGE,DURANGO,Suv,GRY,,Sunday,N,East Industrial,Ward 18 - Alta Vista,Sector 33,5/26/2019 5:00:00 AM,5/26/2019 5:00:00 AM,2019,"TERMINAL AVE, RAILMARKET PRIV",East,5050011.01,Afternoon,Marty Carr,1400,1200,-75.6488069690014,45.4148670615415
20,,,,Motorcycle,BLK,,Friday,Y,Cumberland,Ward 1 - Orléans East-Cumberland,Sector 37,5/26/2019 5:00:00 AM,3/15/2019 5:00:00 AM,2019,"REGIONAL RD 174, EAST ST, PETER HARKNESS LANE",East,5050171.06,Afternoon,Matthew Luloff,1100,1200,-75.4040360281307,45.5189921973053
21,2014,FORD,EXPLORER,Suv,WHI,,Sunday,Y,Centrepointe,Ward 8 - College,Sector 15,5/26/2019 5:00:00 AM,5/26/2019 5:00:00 AM,2019,"PARKGLEN DR, WOODROFFE AVE",West,5050137.05,Morning,Laine Johnson,700,700,-75.7587247238609,45.3456705157695
22,1990,CHEVROLET,CORVETTE,Automobile,WHI,8000,Monday,N,Greely,Ward 20 - Osgoode,Sector 36,5/27/2019 5:00:00 AM,5/27/2019 5:00:00 AM,2019,"DEERMEADOW DR, REINDEER WAY",East,5050191.01,Night,George Darouze,800,0,-75.6046132261646,45.2319547643578
23,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,SIL,,Thursday,N,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,5/27/2019 5:00:00 AM,5/23/2019 5:00:00 AM,2019,"YORK ST, 72M EAST OF SUSSEX DR ",Central,5050054.00,Afternoon,Stéphanie Plante,1400,1500,-75.6940359964318,45.4275585622072
24,2006,AUDI,A4,Automobile,GRY,5000,Monday,Y,Braemar Park - Bel Air Heights - Copeland Park,Ward 8 - College,Sector 17,5/27/2019 5:00:00 AM,5/27/2019 5:00:00 AM,2019,"CASTLE HILL CRES, CLYDE AVE",West,5050023.01,Evening,Laine Johnson,200,2100,-75.7443360903238,45.3691979323606
25,2007,FORD,F350,Truck,WHI,,Monday,Y,Stittsville,Ward 6 - Stittsville,Sector 13,5/27/2019 5:00:00 AM,5/27/2019 5:00:00 AM,2019,"CARP RD, HAZELDEAN RD",West,5050151.07,Night,Glen Gower,500,500,-75.9392210403807,45.2678157300368
26,2018,VOLKSWAGEN,,Automobile,WHI,,Friday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,5/28/2019 5:00:00 AM,5/24/2019 5:00:00 AM,2019,"EDGE HILL PL, GRASMERE CRES",East,5050005.00,Afternoon,Marty Carr,1200,1200,-75.6633967584593,45.3742022661203
27,2001,CHEVROLET,CRUZE,Automobile,BLK,,Monday,Y,Billings Bridge - Alta Vista,Ward 17 - Capital,Sector 34,5/28/2019 5:00:00 AM,5/20/2019 5:00:00 AM,2019,"CLEMENTINE BLVD, HERON RD",East,5050004.00,Night,Shawn Menard,200,500,-75.6732774162126,45.3780193548394
28,2012,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,WHI,,Tuesday,Y,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,5/28/2019 5:00:00 AM,5/28/2019 5:00:00 AM,2019,"RIVER RD,BORBRIDGE AVE",East,5050126.04,Afternoon,Steve Desroches,1700,1700,-75.7005054755365,45.2629882592433
29,1994,OLDSMOBILE,CUSTOM CRUISER,Automobile,GRY,,Monday,Y,Woodroffe - Lincoln Heights,Ward 7 - Bay,Sector 14,5/28/2019 5:00:00 AM,5/27/2019 5:00:00 AM,2019,"DOMINION AVE, TAY ST",West,5050032.02,Afternoon,Theresa Kavanagh,700,1600,-75.7589964736322,45.3907803000944
30,2012,FORD,SPECIAL,Suv,BLK,,Wednesday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,5/29/2019 5:00:00 AM,5/29/2019 5:00:00 AM,2019,"GLENDALE AVE, PERCY ST",Central,5050036.00,Morning,Shawn Menard,1300,600,-75.6979580543012,45.4051554229387
31,2013,CHEVROLET,SILVERADO,Automobile,WHI,,Wednesday,Y,Bayshore,Ward 7 - Bay,Sector 14,5/29/2019 5:00:00 AM,5/29/2019 5:00:00 AM,2019,"CARLING AVE, SCRIVENS ST",West,5050029.00,Afternoon,Theresa Kavanagh,1400,1300,-75.8028135348999,45.3561347281132
